product_id,product_name,brand,category,price,discount_price,discount_percent,rating,reviews_count,skin_type,year,sales_count,revenue,wishlist_count,delivery_days,stock_status
1,Maybelline Haircare Product,Maybelline,Haircare,1007,805.6,20,4.1,2230.0,,2024,910,916370,521,2,In Stock
2,Minimalist Haircare Product,Minimalist,Haircare,497,397.6,20,3.3,1512.0,,2024,3822,1899534,1265,5,Out of Stock
3,Biotique Makeup Product,Biotique,Makeup,700,490.0,30,3.7,1582.0,,2025,3142,2199400,1747,2,Out of Stock
4,Himalaya Makeup Product,Himalaya,Makeup,1511,1133.25,25,4.3,1731.0,,2024,516,779676,362,5,In Stock
5,Nykaa Skincare Product,Nykaa,Skincare,506,379.5,25,3.6,1078.0,Combination,2024,4476,2264856,2370,7,Out of Stock
6,Mamaearth Makeup Product,Mamaearth,Makeup,681,476.7,30,3.6,1832.0,,2024,3494,2379414,1138,1,Out of Stock
7,Himalaya Makeup Product,Himalaya,Makeup,482,433.8,10,3.6,1632.0,,2025,3221,1552522,2232,3,Out of Stock
8,Nykaa Makeup Product,Nykaa,Makeup,1006,754.5,25,4.0,1482.0,Oily,2025,2969,2986814,1189,7,In Stock
9,L'Oreal Skincare Product,L'Oreal,Skincare,692,622.8,10,4.0,1433.0,,2025,180,124560,77,6,In Stock
10,Biotique Skincare Product,Biotique,Skincare,484,411.4,15,3.6,1739.0,,2025,1735,839740,663,1,In Stock
11,Dove Skincare Product,Dove,Skincare,504,378.0,25,3.9,1831.0,,2024,819,412776,380,6,In Stock
12,L'Oreal Haircare Product,L'Oreal,Haircare,1018,712.6,30,3.7,1524.0,,2025,2441,2484938,1655,5,In Stock
13,Minimalist Makeup Product,Minimalist,Makeup,1502,1276.7,15,4.3,1985.0,,2025,2483,3729466,1389,3,In Stock
14,Himalaya Makeup Product,Himalaya,Makeup,1507,1054.9,30,4.1,2003.0,,2025,1234,1859638,496,3,In Stock
15,Nivea Skincare Product,Nivea,Skincare,695,556.0,20,3.9,2171.0,,2025,4605,3200475,3402,5,Out of Stock
16,Lakme Skincare Product,Lakme,Skincare,517,439.45,15,3.5,2029.0,,2024,3435,1775895,2541,5,Out of Stock
17,Maybelline Makeup Product,Maybelline,Makeup,1513,1134.75,25,4.4,1968.0,,2024,4167,6304671,3063,2,Out of Stock
